CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
OP02-001,エドワード・ニューゲート,L,LEADER,赤,ライフ,6,6000,-,特,四皇/白ひげ海賊団,1,【自分のターン終了時】自分のライフの上から1枚を手札に加える。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP02-008,ジョズ,R,CHARACTER,赤,コスト,4,4000,2000,打,白ひげ海賊団,1,【ドン‼×1】自分のライフが2枚以下でかつ、自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP02-018,マルコ,R,CHARACTER,赤,コスト,4,5000,1000,特,白ひげ海賊団,1,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】自分の手札から『白ひげ海賊団』を含む特徴を持つカード1枚を捨てることができる：自分のライフが2枚以下の場合、このキャラカードをトラッシュからレストで登場させる。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP02-019,ラクヨウ,UC,CHARACTER,赤,コスト,3,4000,1000,打,白ひげ海賊団,1,【ドン‼×1】【自分のターン中】自分の『白ひげ海賊団』を含む特徴を持つキャラすべてを、パワー+1000。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP02-023,バカな息子をそれでも愛そう…,C,EVENT,赤,コスト,1,-,-,-,四皇/白ひげ海賊団,1,【メイン】自分のライフが3以下の場合、自分は、このターン中、自分の効果でライフを手札に加えられない。,【】自分のリーダー1枚までを、このターン中、パワー+1000。,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP03-003,イゾウ,R,CHARACTER,赤,コスト,1,2000,1000,射,ワノ国/白ひげ海賊団,1,【登場時】自分のデッキの上から5枚を見て、「イゾウ」以外の『白ひげ海賊団』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP03-006,スピード・ジル,C,CHARACTER,赤,コスト,4,6000,1000,斬,白ひげ海賊団,1,-,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP03-007,ナミュール,C,CHARACTER,赤,コスト,3,5000,1000,打,魚人族/白ひげ海賊団,1,-,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP03-009,ハルタ,C,CHARACTER,赤,コスト,2,3000,1000,斬,白ひげ海賊団,1,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン‼1枚までを、付与する。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
OP03-010,フォッサ,C,CHARACTER,赤,コスト,2,2000,1000,斬,白ひげ海賊団,1,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
ST15-001,アトモス,C,CHARACTER,赤,コスト,4,5000,1000,斬,白ひげ海賊団,3,【アタック時】自分のリーダーが「エドワード・ニューゲート」の場合、自分は、このターン中、自分の効果でライフを手札に加えられない。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
ST15-002,エドワード・ニューゲート,SR,CHARACTER,赤,コスト,7,8000,-,特,四皇/白ひげ海賊団,3,【登場時】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。【起動メイン】このキャラをレストにできる：相手のパワー5000以下のキャラ1枚までを、KOする。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
ST15-003,キングデュー,C,CHARACTER,赤,コスト,3,4000,1000,打,白ひげ海賊団,3,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のターン中】このキャラが効果でKOされた時、自分のリーダー1枚までを、このターン中、パワー+2000。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
ST15-004,サッチ,C,CHARACTER,赤,コスト,1,2000,2000,斬,白ひげ海賊団,3,【登場時】自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、相手のキャラ1枚までを、このターン中、パワー-2000。その後、自分のライフの上から1枚を手札に加える。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
ST15-005,ポートガス・D・エース,SR,CHARACTER,赤,コスト,5,6000,1000,特,白ひげ海賊団,3,自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる)【ターン1回】このキャラが相手の効果で場を離れる場合、代わりにこのキャラを、このターン中、パワー-2000できる。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】,,
