CardID,Name,Rarity,Type,Cost_Life_Type,Cost_Life_Value,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
OP07-001,モンキー・D・ドラゴン,L,LEADER,ライフ,5,特,5000,-,赤,革命軍,【起動メイン】【ターン1回】自分の付与されているドン‼合計2枚までを、自分のキャラ1枚に付与する。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-001,モンキー・D・ドラゴン,L,LEADER,ライフ,5,特,5000,-,赤,革命軍,【起動メイン】【ターン1回】自分の付与されているドン‼合計2枚までを、自分のキャラ1枚に付与する。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-002,アイン,R,CHARACTER,コスト,7,特,6000,-,赤,FILM/NEO海軍,【登場時】相手のキャラ1枚までを、このターン中、パワー0にする。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-003,アウトルック3世,R,CHARACTER,コスト,2,知,-,1000,赤,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：相手のキャラ2枚までを、このターン中、パワー-2000。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-004,カーリー・ダダン,R,CHARACTER,コスト,2,斬,3000,1000,赤,山賊,【登場時】自分の手札1枚を捨てることができる：自分のデッキの上から5枚を見て、パワー2000以下のキャラカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-005,カリーナ,R,CHARACTER,コスト,3,知,-,1000,赤,FILM/グラン・テゾーロ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-005,カリーナ,R,CHARACTER,コスト,3,知,-,1000,赤,FILM/グラン・テゾーロ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-006,ステリー,C,CHARACTER,コスト,1,知,1000,1000,赤,ゴア王国,【登場時】自分のアクティブのリーダー1枚を、このターン中、パワー-5000することができる：カード1枚を引き、自分の手札1枚を捨てる。,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-007,ダイス,C,CHARACTER,コスト,4,打,6000,1000,赤,FILM/グラン・テゾーロ,-,,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
OP07-008,タナカさん,UC,CHARACTER,コスト,3,特,3000,-,赤,FILM/グラン・テゾーロ,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【】このカードを登場させる。,500年後の未来【OP-07】,,550107,"ブースターパック <br class=""spInline"">500年後の未来【OP-07】"
