CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
EB04-026,ブルーグラス,C,CHARACTER,青,コスト,4,6000,-,特,エッグヘッド/海軍,4,【登場時】相手のコスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。【アタック時】カード1枚を引き、自分の手札1枚を捨てる。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
EB04-028,アイスタイム,R,EVENT,青,コスト,5,-,-,-,海軍,4,【メイン】自分の手札1枚を捨てることができる：自分のリーダーが特徴《海軍》を持つ場合、相手のパワー10000以下のキャラ2枚までは、次の相手のエンドフェイズ終了時まで、アタックできない。,【】コスト5以下のキャラ1枚までを、持ち主の手札に戻す。,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-040,クザン,L,LEADER,青,ライフ,5,5000,-,特,海軍,3,自分の特徴《海軍》を持つカードの効果で自分の手札からカードが捨てられた時、捨てた枚数分カードを引く。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-043,クザン,R,CHARACTER,青,コスト,6,8000,-,特,海軍,3,自分の手札が5枚以上の場合、このキャラのコスト+1。【登場時】自分の手札1枚を捨てることができる：相手のキャラ1枚までは、次の相手のエンドフェイズ終了時まで、アタックできない。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-045,ジャンゴ,C,CHARACTER,青,コスト,6,8000,1000,斬,海軍,3,-,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-046,ゼファー,C,CHARACTER,青,コスト,5,5000,2000,打,FILM/海軍,3,【登場時】自分の手札2枚を捨てる。【起動メイン】このキャラをトラッシュに置くことができる：コスト5以下のキャラ1枚までを、持ち主の手札に戻す。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-047,センゴク,R,CHARACTER,青,コスト,3,3000,1000,知,海軍,3,【登場時】自分の手札1枚を捨てることができる：自分のデッキの上から5枚を見て、「センゴク」以外の特徴《海軍》を持つカード2枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-050,ハグワール・Ｄ・サウロ,UC,CHARACTER,青,コスト,6,7000,1000,打,巨人族/オハラ/海軍,3,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-052,フルボディ,C,CHARACTER,青,コスト,4,6000,1000,打,海軍,3,-,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
OP12-057,アイス塊暴雉嘴,C,EVENT,青,コスト,1,-,-,-,海軍,3,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、自分の手札1枚を捨てる。,【】自分の手札1枚を捨てることができる：カード1枚を引く。,スタートデッキ 青 クザン【ST-33】,dummy.gif,
ST33-001,コビー,C,CHARACTER,青,コスト,2,1000,1000,打,海軍,5,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の手札1枚を捨てることができる：カード1枚を引く。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
ST33-002,サカズキ,C,CHARACTER,青,コスト,4,5000,1000,特,海軍,5,【アタック時】自分の手札1枚を捨てることができる：相手の手札が6枚以上ある場合、相手は自身の手札1枚を捨てる。【KO時】自分の手札からコスト4以下の特徴《海軍》を持つキャラカード1枚までを、登場させる。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
ST33-003,スモーカー,C,CHARACTER,青,コスト,2,3000,2000,特,海軍,5,【登場時】自分の手札1枚を捨てることができる：相手のコスト2以下のキャラ2枚までを、持ち主のデッキの下に置く。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
ST33-004,ボルサリーノ,SR,CHARACTER,青,コスト,6,6000,2000,特,海軍,5,手札のこのカードは、効果で自分の手札が捨てられているターン中、コスト-3。【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキ 青 クザン【ST-33】,dummy.gif,
ST33-005,モンキー・Ｄ・ガープ,SR,CHARACTER,青,コスト,6,6000,1000,打,海軍,5,【登場時】自分のリーダーが特徴《海軍》を持つ場合、自分の手札から「モンキー・Ｄ・ガープ」以外のパワー8000以下の青の特徴《海軍》を持つキャラカード1枚までを、登場させる。,,スタートデッキ 青 クザン【ST-33】,dummy.gif,
