CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
OP11-001,コビー,L,LEADER,赤/黒,ライフ,4,5000,-,打,海軍/SWORD,3,自分の特徴《SWORD》を持つキャラは、登場したターンにキャラへアタックできる。【ターン1回】自分の元々のパワー7000以下の特徴《海軍》を持つキャラが相手の効果で場を離れる場合、代わりに自分のトラッシュからカード3枚を好きな順番でデッキの下に置くことができる。,,ブースターパック 神速の拳【OP-11】,,
OP11-001,コビー,L,LEADER,赤/黒,ライフ,4,5000,-,打,海軍/SWORD,3,自分の特徴《SWORD》を持つキャラは、登場したターンにキャラへアタックできる。【ターン1回】自分の元々のパワー7000以下の特徴《海軍》を持つキャラが相手の効果で場を離れる場合、代わりに自分のトラッシュからカード3枚を好きな順番でデッキの下に置くことができる。,,ブースターパック 神速の拳【OP-11】,,
OP11-002,アイン,C,CHARACTER,赤,コスト,3,4000,1000,特,FILM/NEO海軍,3,【登場時】相手のキャラ1枚までを、このターン中、パワー-1000。その後、相手のパワー0以下のキャラ1枚までを、KOする。,,ブースターパック 神速の拳【OP-11】,,
OP11-003,ウソップ,UC,CHARACTER,赤,コスト,5,6000,2000,射,麦わらの一味,3,-,,ブースターパック 神速の拳【OP-11】,,
OP11-004,孔雀,SR,CHARACTER,赤,コスト,1,-,1000,特,海軍/SWORD,3,【登場時】自分のデッキの上から5枚を見て、「孔雀」以外の特徴《海軍》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。【起動メイン】このキャラをトラッシュに置くことができる：自分のキャラ1枚までを、このターン中、パワー+1000。,,ブースターパック 神速の拳【OP-11】,,
OP11-004,孔雀,SR,CHARACTER,赤,コスト,1,-,1000,特,海軍/SWORD,3,【登場時】自分のデッキの上から5枚を見て、「孔雀」以外の特徴《海軍》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。【起動メイン】このキャラをトラッシュに置くことができる：自分のキャラ1枚までを、このターン中、パワー+1000。,,ブースターパック 神速の拳【OP-11】,,
OP11-005,スモーカー,C,CHARACTER,赤,コスト,4,5000,1000,特,海軍,3,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン‼×1】このキャラは属性(特)を持たないキャラの効果でKOされない。,,ブースターパック 神速の拳【OP-11】,,
OP11-006,ゼット,C,CHARACTER,赤,コスト,5,6000,1000,打,FILM/NEO海軍,3,【ドン‼×1】【アタック時】相手の属性(特)を持つキャラ1枚までを、このターン中、パワー-5000。,,ブースターパック 神速の拳【OP-11】,,
OP11-007,たしぎ,C,CHARACTER,赤,コスト,1,1000,1000,斬,海軍,3,【起動メイン】このキャラをレストにできる：自分のリーダーが特徴《海軍》を持つ場合、自分の特徴《海軍》を持つキャラ1枚までを、このターン中、パワー+2000。,,ブースターパック 神速の拳【OP-11】,,
OP11-008,ドール,R,CHARACTER,赤,コスト,4,1000,1000,打,海軍,3,【ブロッカー】【登場時】自分の手札1枚を捨てることができる：自分のリーダーが特徴《海軍》を持つ場合、相手のキャラ1枚までを、このターン中、パワー-6000。,,ブースターパック 神速の拳【OP-11】,,
OP11-008,ドール,R,CHARACTER,赤,コスト,4,1000,1000,打,海軍,3,【ブロッカー】【登場時】自分の手札1枚を捨てることができる：自分のリーダーが特徴《海軍》を持つ場合、相手のキャラ1枚までを、このターン中、パワー-6000。,,ブースターパック 神速の拳【OP-11】,,
OP11-009,ニコ・ロビン,C,CHARACTER,赤,コスト,3,4000,1000,打,麦わらの一味,3,【ドン‼×2】【アタック時】相手のキャラ1枚までを、次の相手のターン終了時まで、パワー-2000。,,ブースターパック 神速の拳【OP-11】,,
OP11-010,ひばり,SR,CHARACTER,赤,コスト,5,6000,-,射,海軍/SWORD,3,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。【アタック時】このキャラは、このターン中、パワー+1000。その後、自分の特徴《海軍》を持つリーダー1枚までは、このターン中、アクティブのキャラにもアタックできる。,,ブースターパック 神速の拳【OP-11】,,
OP11-010,ひばり,SR,CHARACTER,赤,コスト,5,6000,-,射,海軍/SWORD,3,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。【アタック時】このキャラは、このターン中、パワー+1000。その後、自分の特徴《海軍》を持つリーダー1枚までは、このターン中、アクティブのキャラにもアタックできる。,,ブースターパック 神速の拳【OP-11】,,
OP11-011,ビンズ,C,CHARACTER,赤,コスト,5,7000,1000,特,FILM/NEO海軍,3,-,,ブースターパック 神速の拳【OP-11】,,
OP11-012,フランキー,UC,CHARACTER,赤,コスト,4,4000,2000,打,麦わらの一味,3,【自分のターン中】【ターン1回】相手がイベントを発動した時、自分のキャラすべてを、このターン中、パワー+2000。,,ブースターパック 神速の拳【OP-11】,,
OP11-013,プリンス・グルス,R,CHARACTER,赤,コスト,1,2000,2000,特,海軍/SWORD,3,【アタック時】相手のパワー2000以下のキャラすべては、このターン中、【ブロッカー】を発動できない。,,ブースターパック 神速の拳【OP-11】,,
OP11-014,ボルサリーノ,R,CHARACTER,赤,コスト,3,3000,1000,特,FILM/海軍,3,【ブロッカー】【起動メイン】このキャラをレストにできる：自分の特徴《海軍》を持つ、リーダーかキャラ1枚までは、このターン中、アクティブのキャラにもアタックできる。,,ブースターパック 神速の拳【OP-11】,,
OP11-015,モチャ,C,CHARACTER,赤,コスト,4,6000,1000,知,パンクハザード,3,-,,ブースターパック 神速の拳【OP-11】,,
OP11-016,ロロノア・ゾロ,UC,CHARACTER,赤,コスト,5,6000,1000,斬,麦わらの一味,3,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン‼1枚までを、付与する。,,ブースターパック 神速の拳【OP-11】,,
OP11-017,X・ドレーク,UC,CHARACTER,赤,コスト,6,7000,2000,斬,海軍/SWORD/ドレーク海賊団,3,-,,ブースターパック 神速の拳【OP-11】,,
