CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
OP12-090,ベロ・ベティ,C,CHARACTER,黒,コスト,3,4000,2000,特,革命軍,3,【アタック時】自分のデッキの上から2枚をトラッシュに置くことができる：相手のキャラ1枚までを、このターン中、コスト-2。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP12-093,モーリー,UC,CHARACTER,黒,コスト,4,5000,2000,特,巨人族/革命軍,3,自分のリーダーが特徴《革命軍》を持つ場合、このキャラのコスト+4。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP12-098,夢打撃処裏拳,UC,EVENT,黒,コスト,1,-,-,-,インペルダウン/革命軍,3,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のコスト8以上の特徴《革命軍》を持つキャラがいる場合、そのカードを、このバトル中、パワー+2000。,【】カード1枚を引き、自分のデッキの上から1枚をトラッシュに置く。,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP13-004,サボ,L,LEADER,赤/黒,ライフ,5,5000,-,特,ドレスローザ/革命軍,4,自分のライフが4枚以上の場合、このリーダーのパワー-1000。【ドン!!×1】自分のコスト8以上のキャラがいる場合、自分のリーダーとキャラすべてを、パワー+1000。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP13-005,イナズマ,UC,CHARACTER,赤,コスト,4,5000,2000,斬,革命軍,4,【登場時】自分のリーダーにレストのドン!!1枚までを、付与する。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP13-008,エンポリオ・イワンコフ,C,CHARACTER,赤,コスト,2,3000,1000,特,革命軍,4,自分の特徴《革命軍》を持つキャラが相手の効果でKOされる場合、代わりにこのキャラをトラッシュに置くことができる。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP13-017,モンキー・Ｄ・ドラゴン,R,CHARACTER,赤,コスト,6,7000,1000,特,革命軍,4,【ターン1回】自分の特徴《革命軍》を持つキャラが相手の効果で場を離れる場合、代わりにこのキャラを、このターン中、パワー-2000できる。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP13-019,“火炎”が許さねェってよ!!,R,EVENT,赤,コスト,1,-,-,-,ドレスローザ/革命軍,4,【メイン】自分のドン!!4枚をレストにできる：相手のキャラ1枚までを、このターン中、パワー-3000。その後、相手のパワー3000以下のキャラ1枚までを、KOする。【カウンター】自分のリーダーを、このバトル中、パワー+3000。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
OP13-081,コアラ,C,CHARACTER,黒,コスト,5,6000,1000,打,ドレスローザ/革命軍,4,自分のリーダーが特徴《革命軍》を持つ場合、このキャラのコスト+3。【起動メイン】【ターン1回】自分のトラッシュからカード1枚をデッキの下に置くことができる：自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
P-105,サボ,P,CHARACTER,黒,コスト,4,6000,-,特,革命軍,4,自分のリーダーが特徴《革命軍》を持つ場合、このキャラは【ブロッカー】を得て、コスト+4。【登場時】自分のライフの上か下から1枚を手札に加えることができる：自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
ST35-001,ハック,C,CHARACTER,赤,コスト,4,4000,1000,打,魚人族/ドレスローザ/革命軍,5,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】相手の元々のパワー2000以下のキャラ1枚までを、KOする。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
ST35-002,リンドバーグ,C,CHARACTER,赤,コスト,4,4000,2000,特,ミンク族/革命軍,5,【登場時】相手のキャラ1枚までを、このターン中、パワー-3000。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
ST35-003,カラス,C,CHARACTER,黒,コスト,3,4000,2000,特,革命軍,5,【アタック時】自分のデッキの上から2枚をトラッシュに置くことができる：相手の手札が7枚以上ある場合、相手は自身の手札1枚を捨てる。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
ST35-004,コアラ,SR,CHARACTER,黒,コスト,7,6000,1000,打,ドレスローザ/革命軍,5,このキャラは【ブロッカー】を得て、コスト+1。【登場時】自分のリーダーにレストのドン!!1枚までを、付与する。その後、自分の手札かトラッシュからパワー4000以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
ST35-005,バーソロミュー・くま,SR,CHARACTER,黒,コスト,5,5000,1000,打,革命軍,5,このキャラのコスト+3。【登場時】自分のリーダーにレストのドン!!1枚までを、付与する。その後、自分の手札かトラッシュからパワー4000以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。,,スタートデッキ 赤黒 サボ【ST-35】,dummy.gif,
