CardID,Name,Rarity,Type,Cost_Life_Type,Cost_Life_Value,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
EB01-006,トニートニー・チョッパー,SR,CHARACTER,コスト,3,打,4000,1000,赤,動物/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×2】【アタック時】相手のキャラ1枚までを、このターン中、パワー-3000。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-006,お玉,UC,CHARACTER,コスト,1,特,-,2000,赤,ワノ国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-006,お玉,UC,CHARACTER,コスト,1,特,-,2000,赤,ワノ国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-006,お玉,UC,CHARACTER,コスト,1,特,-,2000,赤,ワノ国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-006,お玉,UC,CHARACTER,コスト,1,特,-,2000,赤,ワノ国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-016,ナミ,R,CHARACTER,コスト,1,特,2000,1000,赤,麦わらの一味,【登場時】自分のデッキの上から5枚を見て、「ナミ」以外の特徴《麦わらの一味》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-024,モンキー・D・ルフィ,SR,CHARACTER,コスト,2,打,3000,1000,赤,超新星/麦わらの一味,【ドン‼×2】このキャラは、属性 (打)を持つキャラとのバトルではKOされない。【起動メイン】【ターン1回】このキャラにレストのドン‼2枚までを付与する。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-024,モンキー・D・ルフィ,SR,CHARACTER,コスト,2,打,3000,1000,赤,超新星/麦わらの一味,【ドン‼×2】このキャラは、属性 (打)を持つキャラとのバトルではKOされない。【起動メイン】【ターン1回】このキャラにレストのドン‼2枚までを付与する。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-029,ラディカルビ～～～ム‼‼,UC,EVENT,コスト,1,-,-,-,赤,麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のライフが2枚以下の場合、そのカードを、このバトル中、パワー+2000。,【】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-029,ラディカルビ～～～ム‼‼,UC,EVENT,コスト,1,-,-,-,赤,麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のライフが2枚以下の場合、そのカードを、このバトル中、パワー+2000。,【】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-029,ラディカルビ～～～ム‼‼,UC,EVENT,コスト,1,-,-,-,赤,麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のライフが2枚以下の場合、そのカードを、このバトル中、パワー+2000。,【】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-033,イゾウ,UC,CHARACTER,コスト,3,射,3000,2000,緑,ワノ国/元白ひげ海賊団,【登場時】相手のコスト4以下のキャラ1枚までを、レストにする。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
OP01-033,イゾウ,UC,CHARACTER,コスト,3,射,3000,2000,緑,ワノ国/元白ひげ海賊団,【登場時】相手のコスト4以下のキャラ1枚までを、レストにする。,,ONE PIECE CARD THE BEST【PRB-01】,,550301,"プレミアムブースター <br class=""spInline"">ONE PIECE CARD THE BEST【PRB-01】"
