CardID,Name,Rarity,Type,Cost_Life_Type,Cost_Life_Value,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
OP13-001,モンキー・Ｄ・ルフィ,L,LEADER,ライフ,4,打,5000,-,赤/緑,超新星/麦わらの一味,【ドン‼×1】【相手のアタック時】自分のアクティブのドン‼が5枚以下の場合、自分のドン‼を任意の枚数レストにできる。レストにしたドン‼1枚につき、このリーダーか自分の特徴《麦わらの一味》を持つキャラ1枚までを、このバトル中、パワー+2000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-001,モンキー・Ｄ・ルフィ,L,LEADER,ライフ,4,打,5000,-,赤/緑,超新星/麦わらの一味,【ドン‼×1】【相手のアタック時】自分のアクティブのドン‼が5枚以下の場合、自分のドン‼を任意の枚数レストにできる。レストにしたドン‼1枚につき、このリーダーか自分の特徴《麦わらの一味》を持つキャラ1枚までを、このバトル中、パワー+2000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-002,ポートガス・Ｄ・エース,L,LEADER,ライフ,3,特,6000,-,赤/青,白ひげ海賊団,【相手のアタック時】【ターン1回】自分の手札1枚を捨てることができる：相手のリーダーかキャラ1枚までを、このバトル中、パワー-2000。【ドン‼×1】【ターン1回】自分がダメージを受けた時か自分の元々のパワー6000以上のキャラがKOされた時、カード1枚を引く。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-002,ポートガス・Ｄ・エース,L,LEADER,ライフ,3,特,6000,-,赤/青,白ひげ海賊団,【相手のアタック時】【ターン1回】自分の手札1枚を捨てることができる：相手のリーダーかキャラ1枚までを、このバトル中、パワー-2000。【ドン‼×1】【ターン1回】自分がダメージを受けた時か自分の元々のパワー6000以上のキャラがKOされた時、カード1枚を引く。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-003,ゴール・Ｄ・ロジャー,L,LEADER,ライフ,5,斬,7000,-,赤/紫,海賊王/ロジャー海賊団,自分の場のドン‼がある場合、自分のドン‼フェイズに置かれるドン‼1枚は、自分のリーダーに付与される。自分の場のドン‼が9枚以下の場合、このリーダーのパワー-2000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-003,ゴール・Ｄ・ロジャー,L,LEADER,ライフ,5,斬,7000,-,赤/紫,海賊王/ロジャー海賊団,自分の場のドン‼がある場合、自分のドン‼フェイズに置かれるドン‼1枚は、自分のリーダーに付与される。自分の場のドン‼が9枚以下の場合、このリーダーのパワー-2000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-004,サボ,L,LEADER,ライフ,5,特,5000,-,赤/黒,ドレスローザ/革命軍,自分のライフが4枚以上の場合、このリーダーのパワー-1000。【ドン‼×1】自分のコスト8以上のキャラがいる場合、自分のリーダーとキャラすべてを、パワー+1000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-004,サボ,L,LEADER,ライフ,5,特,5000,-,赤/黒,ドレスローザ/革命軍,自分のライフが4枚以上の場合、このリーダーのパワー-1000。【ドン‼×1】自分のコスト8以上のキャラがいる場合、自分のリーダーとキャラすべてを、パワー+1000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-005,イナズマ,UC,CHARACTER,コスト,4,斬,5000,2000,赤,革命軍,【登場時】自分のリーダーにレストのドン‼1枚までを、付与する。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-006,ウープ・スラップ,C,CHARACTER,コスト,1,知,-,1000,赤,フーシャ村,【登場時】自分の「モンキー・Ｄ・ルフィ」1枚にレストのドン‼2枚までを、付与する。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-007,エース＆サボ＆ルフィ,SR,CHARACTER,コスト,1,打,1000,2000,赤,ゴア王国,【起動メイン】自分のリーダーかキャラ1枚に自分のアクティブのドン‼1枚を付与し、このキャラをトラッシュに置くことができる：相手のキャラ1枚までを、このターン中、パワー-3000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-007,エース＆サボ＆ルフィ,SR,CHARACTER,コスト,1,打,1000,2000,赤,ゴア王国,【起動メイン】自分のリーダーかキャラ1枚に自分のアクティブのドン‼1枚を付与し、このキャラをトラッシュに置くことができる：相手のキャラ1枚までを、このターン中、パワー-3000。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
OP13-008,エンポリオ・イワンコフ,C,CHARACTER,コスト,2,特,3000,1000,赤,革命軍,自分の特徴《革命軍》を持つキャラが相手の効果でKOされる場合、代わりにこのキャラをトラッシュに置くことができる。,,受け継がれる意志【OP-13】,,550113,ブースターパック 受け継がれる意志【OP-13】
