CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
OP06-001,ウタ,L,LEADER,赤/紫,ライフ,4,5000,-,特,FILM,2,【アタック時】自分の手札の特徴《FILM》を持つカード1枚を捨てることができる：相手のキャラ1枚までを、このターン中、パワー-2000。その後、ドン !!デッキからドン !!1枚までを、レストで追加する。,,双璧の覇者【OP-06】,,
OP06-001,ウタ,L,LEADER,赤/紫,ライフ,4,5000,-,特,FILM,2,【アタック時】自分の手札の特徴《FILM》を持つカード1枚を捨てることができる：相手のキャラ1枚までを、このターン中、パワー-2000。その後、ドン !!デッキからドン !!1枚までを、レストで追加する。,,双璧の覇者【OP-06】,,
OP06-002,イナズマ,C,CHARACTER,赤,コスト,4,5000,1000,斬,革命軍,2,このキャラのパワーが7000以上の場合、このキャラは【バニッシュ】を得る。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),,双璧の覇者【OP-06】,,
OP06-003,エンポリオ・イワンコフ,UC,CHARACTER,赤,コスト,5,6000,-,特,革命軍,2,【登場時】自分のデッキの上から3枚を見て、パワー5000以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。その後、残りを好きな順番でデッキの下に置く。,,双璧の覇者【OP-06】,,
OP06-004,オマツリ男爵,C,CHARACTER,赤,コスト,2,3000,1000,射,FILM/オマツリ島,2,【登場時】自分の手札から「リリーカーネーション」1枚までを、登場させる。,,双璧の覇者【OP-06】,,
OP06-005,ガスパーデ,C,CHARACTER,赤,コスト,6,8000,1000,特,FILM/元海軍/ガスパーデ海賊団,2,-,,双璧の覇者【OP-06】,,
OP06-006,サガ,UC,CHARACTER,赤,コスト,4,5000,2000,斬,FILM/アスカ島,2,【ドン!!×1】【アタック時】このキャラは、次の自分のターン開始時まで、パワー+1000。その後、このターン終了時、自分の特徴《FILM》を持つキャラ1枚をトラッシュに置く。,,双璧の覇者【OP-06】,,
OP06-007,シャンクス,SR,CHARACTER,赤,コスト,10,12000,-,斬,FILM/四皇/赤髪海賊団,2,【登場時】相手のパワー10000以下のキャラ1枚までを、KOする。,,双璧の覇者【OP-06】,,
OP06-007,シャンクス,SR,CHARACTER,赤,コスト,10,12000,-,斬,FILM/四皇/赤髪海賊団,2,【登場時】相手のパワー10000以下のキャラ1枚までを、KOする。,,双璧の覇者【OP-06】,,
OP06-008,シュナイダー,C,CHARACTER,赤,コスト,3,5000,1000,知,FILM/麦わらチェイス,2,-,,双璧の覇者【OP-06】,,
OP06-009,シュライヤ,SR,CHARACTER,赤,コスト,3,4000,1000,打,FILM/造船の町,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【アタック時】/【ブロック時】【ターン1回】このキャラは、次の自分のターン開始時まで、相手のリーダーと同じパワーになる。,,双璧の覇者【OP-06】,,
OP06-009,シュライヤ,SR,CHARACTER,赤,コスト,3,4000,1000,打,FILM/造船の町,2,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【アタック時】/【ブロック時】【ターン1回】このキャラは、次の自分のターン開始時まで、相手のリーダーと同じパワーになる。,,双璧の覇者【OP-06】,,
OP06-010,ダグラス・バレット,R,CHARACTER,赤,コスト,6,7000,1000,打,FILM/海賊万博,2,自分のリーダーが特徴《FILM》を持つ場合、このキャラは【ブロッカー】を得る。(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,双璧の覇者【OP-06】,,
OP06-011,トットムジカ,R,CHARACTER,赤,コスト,5,6000,1000,特,FILM,2,【起動メイン】【ターン1回】自分の「ウタ」1枚をレストにできる：このキャラは、このターン中、パワー+5000。,,双璧の覇者【OP-06】,,
OP06-012,ベアキング,UC,CHARACTER,赤,コスト,5,6000,1000,打,FILM/トランプ海賊団,2,相手の元々のパワー6000以上の、リーダーかキャラがいる場合、このキャラはバトルでKOされない。,,双璧の覇者【OP-06】,,
OP06-013,モンキー・D・ルフィ,R,CHARACTER,赤,コスト,2,3000,1000,打,FILM/麦わらの一味,2,【登場時】自分のデッキの上から3枚を見て、特徴《FILM》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【登場時】効果を発動する。,双璧の覇者【OP-06】,,
OP06-013,モンキー・D・ルフィ,R,CHARACTER,赤,コスト,2,3000,1000,打,FILM/麦わらの一味,2,【登場時】自分のデッキの上から3枚を見て、特徴《FILM》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【登場時】効果を発動する。,双璧の覇者【OP-06】,,
OP06-014,ラチェット,C,CHARACTER,赤,コスト,1,-,1000,知,FILM/メカ島,2,【相手のアタック時】自分の手札から特徴《FILM》を持つカードを任意の枚数捨ててもよい。捨てたカード1枚につき、自分のリーダーかキャラ1枚は、このバトル中、パワー+1000。,,双璧の覇者【OP-06】,,
OP06-015,リリーカーネーション,C,CHARACTER,赤,コスト,4,-,1000,特,FILM/オマツリ島,2,【起動メイン】【ターン1回】自分のパワー6000以上のキャラ1枚をトラッシュに置くことができる：自分のトラッシュのパワー2000から5000の特徴《FILM》を持つキャラカード1枚までを、レストで登場させる。,,双璧の覇者【OP-06】,,
OP06-016,レイズ・マックス,UC,CHARACTER,赤,コスト,1,2000,-,知,FILM/革命軍,2,【起動メイン】このキャラを持ち主のデッキの下に置くことができる：相手のキャラ1枚までを、このターン中、パワー-3000。,,双璧の覇者【OP-06】,,
OP06-017,恋のメテオストライク,C,EVENT,赤,コスト,2,-,-,-,FILM/麦わらの一味,2,【メイン】/【カウンター】自分のライフ1枚を手札に加えることができる：自分のリーダーかキャラ1枚までを、このターン中、パワー+3000。,,双璧の覇者【OP-06】,,
OP06-018,ゴムゴムの大猿王銃乱打,R,EVENT,赤,コスト,2,-,-,-,FILM/麦わらの一味,2,【メイン】自分のリーダーかキャラ1枚までを、このターン中、パワー+3000。その後、相手のパワー7000以上のキャラがいる場合、自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,【トリガー】相手のパワー5000以下のキャラ1枚までを、KOする。,双璧の覇者【OP-06】,,
OP06-019,青龍印 流水,UC,EVENT,赤,コスト,3,-,-,-,FILM/麦わらの一味,2,【メイン】相手のパワー5000以下のキャラ1枚までを、KOする。,【トリガー】相手のパワー4000以下のキャラ1枚までを、KOする。,双璧の覇者【OP-06】,,
OP06-020,ホーディ・ジョーンズ,L,LEADER,緑,ライフ,5,5000,-,打,魚人族/新魚人海賊団,2,【起動メイン】このリーダーをレストにできる：相手の、コスト3以下のキャラかドン !!1枚までを、レストにする。その後、自分は、このターン中、自分の効果でライフを手札に加えられない。,,双璧の覇者【OP-06】,,
OP06-020,ホーディ・ジョーンズ,L,LEADER,緑,ライフ,5,5000,-,打,魚人族/新魚人海賊団,2,【起動メイン】このリーダーをレストにできる：相手の、コスト3以下のキャラかドン !!1枚までを、レストにする。その後、自分は、このターン中、自分の効果でライフを手札に加えられない。,,双璧の覇者【OP-06】,,
OP06-021,ペローナ,L,LEADER,緑/黒,ライフ,4,5000,-,特,スリラーバーク海賊団,2,【起動メイン】【ターン1回】以下から1つを選ぶ。・相手のコスト4以下のキャラ1枚までを、レストにする。・相手のキャラ1枚までを、このターン中、コスト-1。,,双璧の覇者【OP-06】,,
OP06-021,ペローナ,L,LEADER,緑/黒,ライフ,4,5000,-,特,スリラーバーク海賊団,2,【起動メイン】【ターン1回】以下から1つを選ぶ。・相手のコスト4以下のキャラ1枚までを、レストにする。・相手のキャラ1枚までを、このターン中、コスト-1。,,双璧の覇者【OP-06】,,
