CardID,Name,Rarity,Type,Life,Cost,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
OP08-001,トニートニー・チョッパー,L,LEADER,ライフ4,,打,5000,-,赤/緑,動物/ドラム王国/麦わらの一味,【起動メイン】【ターン1回】自分の特徴《動物》か《ドラム王国》を持つキャラ3枚までにレストのドン‼1枚ずつまでを、付与する。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-001,トニートニー・チョッパー,L,LEADER,ライフ4,,打,5000,-,赤/緑,動物/ドラム王国/麦わらの一味,【起動メイン】【ターン1回】自分の特徴《動物》か《ドラム王国》を持つキャラ3枚までにレストのドン‼1枚ずつまでを、付与する。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-002,マルコ,L,LEADER,ライフ4,,特,5000,-,赤/青,白ひげ海賊団,【ドン‼×1】【起動メイン】【ターン1回】カード1枚を引き、自分の手札1枚をデッキの上か下に置く。その後、相手のキャラ1枚までを、このターン中、パワー-2000。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-002,マルコ,L,LEADER,ライフ4,,特,5000,-,赤/青,白ひげ海賊団,【ドン‼×1】【起動メイン】【ターン1回】カード1枚を引き、自分の手札1枚をデッキの上か下に置く。その後、相手のキャラ1枚までを、このターン中、パワー-2000。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-003,イッシー20,C,CHARACTER,,コスト2,知,2000,1000,赤,ドラム王国,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-004,クロマーリモ,C,CHARACTER,,コスト4,打,5000,1000,赤,ドラム王国,【登場時】自分の「チェス」がいる場合、相手のパワー3000以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-005,チェス,C,CHARACTER,,コスト3,射,3000,1000,赤,ドラム王国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。その後、自分の「クロマーリモ」がいない場合、自分の手札から「クロマーリモ」1枚までを、登場させる。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-006,チェスマーリモ,UC,CHARACTER,,コスト5,打/射,6000,1000,赤,ドラム王国,【自分のターン中】自分のトラッシュに「クロマーリモ」と「チェス」がある場合、このキャラはパワー+2000。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-007,トニートニー・チョッパー,SR,CHARACTER,,コスト3,打,5000,-,赤,動物/ドラム王国/麦わらの一味,【自分のターン中】【登場時】/【アタック時】自分のデッキの上から5枚を見て、パワー4000以下の特徴《動物》を持つキャラカード1枚までを、レストで登場させる。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-007,トニートニー・チョッパー,SR,CHARACTER,,コスト3,打,5000,-,赤,動物/ドラム王国/麦わらの一味,【自分のターン中】【登場時】/【アタック時】自分のデッキの上から5枚を見て、パワー4000以下の特徴《動物》を持つキャラカード1枚までを、レストで登場させる。その後、残りを好きな順番でデッキの下に置く。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-008,ドルトン,R,CHARACTER,,コスト5,斬,6000,1000,赤,ドラム王国,【登場時】相手のキャラ1枚までを、このターン中、パワー-1000。【ドン‼×1】【起動メイン】【ターン1回】自分のライフの上から1枚を手札に加えることができる：このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-009,ネギ熊まりあ,C,CHARACTER,,コスト3,知,5000,1000,赤,ドラム王国,-,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-010,ハイキングベア,UC,CHARACTER,,コスト3,知,3000,2000,赤,動物/ドラム王国,【ドン‼×1】【起動メイン】【ターン1回】このキャラ以外の自分の特徴《動物》を持つキャラ1枚までを、このターン中、パワー+1000。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-011,ムッシュール,C,CHARACTER,,コスト6,特,8000,1000,赤,FILM/ドラム王国,-,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
OP08-012,ラパーン,UC,CHARACTER,,コスト3,打,3000,1000,赤,動物/ドラム王国,【ドン‼×2】【アタック時】自分のリーダーが特徴《ドラム王国》を持つ場合、相手のパワー4000以下のキャラ1枚までを、KOする。,,ブースターパック 二つの伝説【OP-08】,,550108,ブースターパック 二つの伝説【OP-08】
