CardID,Name,Rarity,Type,Color,Cost_Life_Type,Cost_Life_Value,Power,Counter,Attribute,Feature,Block,Text,Trigger,SetInfo,ImageFileID,ImageFileID_small
ST08-001,モンキー・D・ルフィ,L,LEADER,黒,ライフ,5,5000,-,打,麦わらの一味,1,【自分のターン中】キャラがKOされた時、このリーダーにレストのドン!!1枚までを、付与する。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-002,ウタ,SR,CHARACTER,黒,コスト,2,3000,-,特,FILM,1,このキャラはリーダーとのバトルでKOされない。【起動メイン】このキャラをレストにできる：相手のキャラ1枚までを、このターン中、コスト-2。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-003,ガイモン,C,CHARACTER,黒,コスト,2,4000,1000,知,東の海,1,-,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-004,コビー,C,CHARACTER,黒,コスト,4,1000,1000,打,海軍,1,【起動メイン】このキャラをレストにできる：相手のコスト2以下のキャラ1枚までを、KOする。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-005,シャンクス,SR,CHARACTER,黒,コスト,9,10000,-,斬,赤髪海賊団,1,【登場時】自分の手札1枚を捨てることができる：コスト1以下のキャラすべてを、KOする。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-006,しらほし,C,CHARACTER,黒,コスト,4,-,1000,知,人魚族,1,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】相手のキャラ1枚までを、このターン中、コスト-4。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-007,ネフェルタリ・ビビ,C,CHARACTER,黒,コスト,3,1000,1000,斬,アラバスタ王国,1,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【】このカードを登場させる。,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-008,ヒグマ,C,CHARACTER,黒,コスト,1,2000,1000,斬,山賊,1,【登場時】相手のキャラ1枚までを、このターン中、コスト-2。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-009,マキノ,C,CHARACTER,黒,コスト,2,-,2000,知,フーシャ村,1,【登場時】コスト0のキャラがいる場合、カード1枚を引く。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-010,モンキー・D・ガープ,C,CHARACTER,黒,コスト,5,7000,1000,打,海軍,1,-,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-011,モンキー・D・ルフィ,C,CHARACTER,黒,コスト,3,5000,1000,打,麦わらの一味,1,-,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-012,ラブーン,C,CHARACTER,黒,コスト,4,6000,1000,打,動物,1,-,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-013,Mr.2・ボン・クレー(ベンサム),C,CHARACTER,黒,コスト,5,6000,-,打,元B・W,1,【ドン!!×1】このキャラが相手のキャラとバトルしたバトル終了時、バトルした相手のキャラをKOしてもよい。そうした場合、このキャラをKOする。,,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-014,ゴムゴムの鐘,C,EVENT,黒,コスト,2,-,-,-,麦わらの一味,1,【メイン】自分のライフの上から1枚を手札に加えることができる：相手のキャラ1枚までを、このターン中、コスト-7。,【】自分のトラッシュのコスト2以下の黒のキャラカード1枚までを、手札に加える。,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
ST08-015,ゴムゴムの銃,C,EVENT,黒,コスト,3,-,-,-,麦わらの一味,1,【メイン】相手のコスト2以下のキャラ1枚までを、KOする。,【】カード1枚を引く。,Side モンキー・D・ルフィ【ST-08】,dummy.gif,
