CardID,Name,Rarity,Type,Life,Cost,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
ST02-001,ユースタス・キッド,L,LEADER,ライフ5,,特,5000,-,緑,超新星/キッド海賊団,【起動メイン】【ターン1回】③(コストエリアのドン!!を指定の数レストにできる)，自分の手札1枚を捨てることができる：このリーダーをアクティブにする。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-002,ヴィト,C,CHARACTER,,コスト3,射,5000,1000,緑,ファイアタンク海賊団,-,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-003,ウルージ,C,CHARACTER,,コスト2,打,3000,1000,緑,超新星/破戒僧海賊団,【ドン!!×1】自分のキャラが3枚以上いる場合、このキャラのパワー+2000。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-004,カポネ・ベッジ,C,CHARACTER,,コスト1,特,1000,-,緑,超新星/ファイアタンク海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-005,キラー,C,CHARACTER,,コスト3,斬,3000,1000,緑,超新星/キッド海賊団,【登場時】相手のレストのコスト3以下のキャラ1枚までを、KOする。,【】このカードを登場させる。,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-006,コビー,C,CHARACTER,,コスト4,打,6000,1000,緑,海軍,-,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-007,ジュエリー・ボニー,C,CHARACTER,,コスト1,特,1000,1000,緑,超新星/ボニー海賊団,【起動メイン】①(コストエリアのドン!!を指定の数レストにできる)，このキャラをレストにできる：自分のデッキの上から5枚を見て、特徴《超新星》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-008,スクラッチメン・アプー,C,CHARACTER,,コスト2,射,3000,2000,緑,超新星/オンエア海賊団,【ドン!!×1】【アタック時】相手のドン!!1枚までを、レストにする。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-009,トラファルガー・ロー,SR,CHARACTER,,コスト5,斬,6000,1000,緑,超新星/ハートの海賊団,【登場時】自分のレストのコスト5以下の特徴《超新星》か《ハートの海賊団》を持つキャラ1枚までを、アクティブにする。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-010,バジル・ホーキンス,C,CHARACTER,,コスト5,斬,6000,-,緑,超新星/ホーキンス海賊団,【ドン!!×1】【ターン1回】【自分のターン中】このキャラが相手のキャラとバトルした場合、このキャラをアクティブにする。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-011,ヒート,C,CHARACTER,,コスト2,特,4000,1000,緑,キッド海賊団,-,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-012,ベポ,C,CHARACTER,,コスト1,打,3000,1000,緑,ミンク族/ハートの海賊団,-,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-013,ユースタス・キッド,SR,CHARACTER,,コスト7,特,7000,-,緑,超新星/キッド海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×1】【自分のターン終了時】このキャラをアクティブにする。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-014,X・ドレーク,C,CHARACTER,,コスト4,斬,5000,1000,緑,海軍/超新星/ドレーク海賊団,【ドン!!×1】【自分のターン中】このキャラがレストの場合、自分の特徴《超新星》か《海軍》を持つリーダーとキャラのパワー+1000。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-015,メス,C,EVENT,,コスト1,-,-,-,緑,超新星/ハートの海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のドン!!1枚までを、アクティブにする。,【】自分のドン!!2枚までを、アクティブにする。,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-016,反発,C,EVENT,,コスト2,-,-,-,緑,超新星/キッド海賊団,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、自分のドン!!1枚までを、アクティブにする。,,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
ST02-017,藁備手刀,C,EVENT,,コスト2,-,-,-,緑,超新星/ホーキンス海賊団,【メイン】相手のキャラ1枚までを、レストにする。,【】自分の手札のコスト2以下の特徴《超新星》を持つカード1枚までを、登場させる。,最悪の世代【ST-02】,,550002,スタートデッキ 最悪の世代【ST-02】
