CardID,Name,Rarity,Type,Life,Cost,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
ST21-001,モンキー・D・ルフィ,L,LEADER,ライフ5,,打,5000,-,赤,四皇/麦わらの一味,【ドン‼×1】【起動メイン】【ターン1回】自分のキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-001,モンキー・D・ルフィ,L,LEADER,ライフ5,,打,5000,-,赤,四皇/麦わらの一味,【ドン‼×1】【起動メイン】【ターン1回】自分のキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-002,ウソップ,C,CHARACTER,,コスト2,射,3000,2000,赤,麦わらの一味,【ドン‼×2】【相手のターン中】このキャラのパワー+2000。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-002,ウソップ,C,CHARACTER,,コスト2,射,3000,2000,赤,麦わらの一味,【ドン‼×2】【相手のターン中】このキャラのパワー+2000。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-003,サンジ,C,CHARACTER,,コスト2,打,3000,2000,赤,麦わらの一味,【登場時】自分のパワー6000以上の特徴《麦わらの一味》を持つキャラ1枚までを選ぶ。相手は、このターン中、選んだキャラがアタックする場合【ブロッカー】を発動できない。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-003,サンジ,C,CHARACTER,,コスト2,打,3000,2000,赤,麦わらの一味,【登場時】自分のパワー6000以上の特徴《麦わらの一味》を持つキャラ1枚までを選ぶ。相手は、このターン中、選んだキャラがアタックする場合【ブロッカー】を発動できない。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-004,ジュエリー・ボニー,C,CHARACTER,,コスト1,特,3000,-,赤,エッグヘッド/ボニー海賊団,【ドン‼×2】【KO時】カード1枚を引く。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-004,ジュエリー・ボニー,C,CHARACTER,,コスト1,特,3000,-,赤,エッグヘッド/ボニー海賊団,【ドン‼×2】【KO時】カード1枚を引く。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-005,ジンベエ,C,CHARACTER,,コスト2,打,4000,1000,赤,魚人族/麦わらの一味,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-005,ジンベエ,C,CHARACTER,,コスト2,打,4000,1000,赤,魚人族/麦わらの一味,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-006,ステューシー,C,CHARACTER,,コスト3,特,5000,1000,赤,エッグヘッド,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-006,ステューシー,C,CHARACTER,,コスト3,特,5000,1000,赤,エッグヘッド,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-007,戦桃丸,C,CHARACTER,,コスト2,斬,2000,1000,赤,エッグヘッド/海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-007,戦桃丸,C,CHARACTER,,コスト2,斬,2000,1000,赤,エッグヘッド/海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-008,トニートニー・チョッパー,C,CHARACTER,,コスト4,知,6000,1000,赤,動物/麦わらの一味,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-008,トニートニー・チョッパー,C,CHARACTER,,コスト4,知,6000,1000,赤,動物/麦わらの一味,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-009,ナミ,C,CHARACTER,,コスト3,特,1000,1000,赤,麦わらの一味,【起動メイン】【ターン1回】自分の特徴《麦わらの一味》を持つ、リーダーかキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-009,ナミ,C,CHARACTER,,コスト3,特,1000,1000,赤,麦わらの一味,【起動メイン】【ターン1回】自分の特徴《麦わらの一味》を持つ、リーダーかキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-010,ニコ・ロビン,C,CHARACTER,,コスト3,打,4000,1000,赤,麦わらの一味,【ドン‼×2】【アタック時】相手のパワー4000以下のキャラ1枚までを、KOする。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-010,ニコ・ロビン,C,CHARACTER,,コスト3,打,4000,1000,赤,麦わらの一味,【ドン‼×2】【アタック時】相手のパワー4000以下のキャラ1枚までを、KOする。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-011,フランキー,C,CHARACTER,,コスト3,打,4000,1000,赤,麦わらの一味,【ドン‼×2】【相手のターン中】自分の元々のパワー4000以下の特徴《麦わらの一味》を持つキャラすべてを、パワー+1000。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-011,フランキー,C,CHARACTER,,コスト3,打,4000,1000,赤,麦わらの一味,【ドン‼×2】【相手のターン中】自分の元々のパワー4000以下の特徴《麦わらの一味》を持つキャラすべてを、パワー+1000。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-012,ブルック,C,CHARACTER,,コスト3,斬,4000,1000,赤,麦わらの一味,【アタック時】自分のリーダーかキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-012,ブルック,C,CHARACTER,,コスト3,斬,4000,1000,赤,麦わらの一味,【アタック時】自分のリーダーかキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-013,ベガパンク,C,CHARACTER,,コスト1,知,3000,1000,赤,科学者/エッグヘッド,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
ST21-013,ベガパンク,C,CHARACTER,,コスト1,知,3000,1000,赤,科学者/エッグヘッド,-,,スタートデッキEX ギア5【ST-21】,,550021,スタートデッキEX ギア5【ST-21】
