CardID,Name,Rarity,Type,Cost_Life_Type,Cost_Life_Value,Attribute,Power,Counter,Color,Feature,Text,Trigger,SetInfo,ImageFileID,SeriesCode,SeriesName
OP06-022,ヤマト,L,LEADER,ライフ,4,打,5000,-,緑/黄,ワノ国,【ダブルアタック】(このカードが与えるダメージは2になる)【起動メイン】【ターン1回】相手のライフが3枚以下の場合、自分のキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP06-100,イヌアラシ,UC,CHARACTER,コスト,4,斬,5000,1000,黄,ミンク族/ワノ国/赤鞘九人男,【ドン‼×2】【アタック時】自分の手札1枚を捨てることができる：相手のライフの枚数以下のコストを持つ相手のキャラ1枚までを、KOする。,【】相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP06-103,河松,C,CHARACTER,コスト,3,斬,5000,-,黄,魚人族/ワノ国/赤鞘九人男,【アタック時】自分の手札2枚を捨てることができる：自分のパワー0のキャラ1枚までを、持ち主のライフの上か下に表向きで置く。,【】相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP06-104,菊之丞,R,CHARACTER,コスト,4,斬,6000,-,黄,ワノ国/赤鞘九人男,【KO時】相手のライフが3枚以下の場合、自分のデッキの上から1枚までを、ライフの上に加える。,【】相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP06-109,傳ジロー,UC,CHARACTER,コスト,5,斬,6000,-,黄,ワノ国/赤鞘九人男,【ドン‼×2】相手のライフが3枚以下の場合、このキャラは効果でKOされない。,【】相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP06-110,ネコマムシ,UC,CHARACTER,コスト,4,斬,5000,1000,黄,ミンク族/ワノ国/赤鞘九人男,【ドン‼×2】このキャラは、相手のアクティブのキャラにもアタックできる。,【】相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP06-112,雷ぞう,C,CHARACTER,コスト,3,斬,4000,1000,黄,ワノ国/赤鞘九人男,【アタック時】自分の手札1枚を捨てることができる：相手のドン‼1枚までを、レストにする。,【】相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP07-116,焔裂き,R,EVENT,コスト,1,-,-,-,黄,ワノ国/赤鞘九人男,【メイン】/【カウンター】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。その後、相手のライフが2枚以下の場合、相手のコスト4以下のキャラ1枚までを、レストにする。,【】相手のコスト4以下のキャラ1枚までを、レストにする。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
OP09-035,ポートガス・D・エース,UC,CHARACTER,コスト,5,特,5000,2000,緑,ODYSSEY/白ひげ海賊団,【登場時】自分のレストのキャラが2枚以上いる場合、相手のコスト5以下のキャラ1枚までを、レストにする。,,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
ST13-016,ヤマト,C,CHARACTER,コスト,5,打,4000,2000,黄,ワノ国,【速攻】(このカードは登場したターンにアタックできる)【登場時】自分のライフすべてを見て、1枚を自分のデッキの上に置き、ライフを好きな順番で置く。,,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
ST28-001,アシュラ童子,C,CHARACTER,コスト,3,斬,3000,1000,黄,ワノ国/赤鞘九人男,【登場時】自分のリーダーが特徴《ワノ国》を持ち、相手のライフが3枚以上の場合、相手の元々のコスト5以下のキャラ1枚までを、KOする。,,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
ST28-002,イゾウ,C,CHARACTER,コスト,2,射,1000,1000,黄,ワノ国/元白ひげ海賊団,【ドン‼×2】このキャラは【ブロッカー】を得る。【登場時】自分の特徴《ワノ国》を持つリーダーは、このターン中、【バニッシュ】を得る。,,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
ST28-003,錦えもん,C,CHARACTER,コスト,4,斬,5000,2000,黄,ワノ国/赤鞘九人男,-,【】自分のリーダーが特徴《ワノ国》を持ち、相手のライフが3枚以下の場合、このカードを登場させる。,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
ST28-004,光月モモの助,SR,CHARACTER,コスト,6,斬,7000,-,黄,ワノ国/光月家,【自分のターン中】自分のライフが2枚以下の場合、自分のリーダーのパワー+1000。【起動メイン】【ターン1回】自分の付与されているドン‼合計2枚をコストエリアにレストで戻すことができる：このキャラは、このターン中、【速攻】を得て、パワー+1000。(このカードは登場したターンにアタックできる),,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
ST28-005,ヤマト,SR,CHARACTER,コスト,1,打,-,1000,黄,ワノ国,【ドン‼×2】【自分のターン中】このキャラのパワー+3000。【登場時】自分のデッキの上から5枚を見て、コスト2以上の特徴《ワノ国》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,スタートデッキ 緑黄 ヤマト【ST-28】,,550028,スタートデッキ 緑黄 ヤマト【ST-28】
